policy,n_users,seed,sum_rate,runtime_ms,is_feasible,binary_objective,num_evaluated_assignments,power_optimizer_success,power_optimizer_iterations,rate_before_refinement,rate_after_refinement,best_available_rate,quality_pct_best_available,exact_rate,quality_pct_exact,exact_gap_pct
Greedy,2,180,1.9997010735892005,1.489400863647461,True,,,True,1,1.9997010735892005,1.9997010735892005,12.872592946104566,15.534563098216658,12.872592946104566,15.534563098216658,84.46543690178333
QIO-Default,2,180,3.825308709247716,20.852327346801758,True,-388.97092619078353,,True,4,2.6206781850089165,3.825308709247716,12.872592946104566,29.716691308920087,12.872592946104566,29.716691308920087,70.28330869107991
QIO-HighQuality,2,180,3.825308709247716,155.0440788269043,True,-388.97092619078353,,True,4,2.6206781850089165,3.825308709247716,12.872592946104566,29.716691308920087,12.872592946104566,29.716691308920087,70.28330869107991
LocalSearch,2,180,3.825308709247716,6.272554397583008,True,-388.97092619078353,,True,4,2.6206781850089165,3.825308709247716,12.872592946104566,29.716691308920087,12.872592946104566,29.716691308920087,70.28330869107991
ExactSmall,2,180,12.872592946104566,42.357444763183594,True,8921.428984307353,16.0,True,2,10.351509495383507,12.872592946104566,12.872592946104566,100.0,12.872592946104566,100.0,0.0
Greedy,2,190,1.9996320441784836,1.4317035675048828,True,,,True,1,1.9996320441784836,1.9996320441784836,13.128015693840535,15.23179199973596,13.128015693840535,15.23179199973596,84.76820800026404
QIO-Default,2,190,3.2943234364580087,17.350435256958008,True,-388.63228628474405,,True,1,3.2943234364580087,3.2943234364580087,13.128015693840535,25.09384139450454,13.128015693840535,25.09384139450454,74.90615860549546
QIO-HighQuality,2,190,3.2943234364580087,153.44500541687012,True,-388.63228628474405,,True,1,3.2943234364580087,3.2943234364580087,13.128015693840535,25.09384139450454,13.128015693840535,25.09384139450454,74.90615860549546
LocalSearch,2,190,3.2943234364580087,3.9474964141845703,True,-388.63228628474405,,True,1,3.2943234364580087,3.2943234364580087,13.128015693840535,25.09384139450454,13.128015693840535,25.09384139450454,74.90615860549546
ExactSmall,2,190,13.128015693840535,35.08400917053223,True,6038.726703504564,16.0,True,2,11.55058125909665,13.128015693840535,13.128015693840535,100.0,13.128015693840535,100.0,0.0
Greedy,3,100,1.7544912771465773,1.6016960144042969,True,,,True,1,1.7544912771465773,1.7544912771465773,13.028920711134644,13.466129052786174,13.028920711134644,13.466129052786174,86.53387094721383
QIO-Default,3,100,2.367116657488179,27.907133102416992,True,-581.8457775655816,,True,4,1.35314479627676,2.367116657488179,13.028920711134644,18.168171485341972,13.028920711134644,18.168171485341972,81.83182851465803
QIO-HighQuality,3,100,2.367116657488179,219.68817710876465,True,-581.8457775655816,,True,4,1.35314479627676,2.367116657488179,13.028920711134644,18.168171485341972,13.028920711134644,18.168171485341972,81.83182851465803
LocalSearch,3,100,2.367116657488179,9.116649627685547,True,-581.8457775655816,,True,4,1.35314479627676,2.367116657488179,13.028920711134644,18.168171485341972,13.028920711134644,18.168171485341972,81.83182851465803
ExactSmall,3,100,13.028920711134644,236.12689971923828,True,6978.938277928445,64.0,True,2,11.720833553300091,13.028920711134644,13.028920711134644,100.0,13.028920711134644,100.0,0.0
Greedy,3,110,1.753874537057092,1.6620159149169922,True,,,True,1,1.753874537057092,1.753874537057092,12.738539159931655,13.768254860602887,12.738539159931655,13.768254860602887,86.23174513939712
QIO-Default,3,110,4.154594537908547,27.968883514404297,True,-586.2287877035083,,True,4,3.477969297676934,4.154594537908547,12.738539159931655,32.61437191304154,12.738539159931655,32.61437191304154,67.38562808695846
QIO-HighQuality,3,110,4.154594537908547,224.17354583740234,True,-586.2287877035083,,True,4,3.477969297676934,4.154594537908547,12.738539159931655,32.61437191304154,12.738539159931655,32.61437191304154,67.38562808695846
LocalSearch,3,110,4.154594537908547,10.563850402832031,True,-586.2287877035083,,True,4,3.477969297676934,4.154594537908547,12.738539159931655,32.61437191304154,12.738539159931655,32.61437191304154,67.38562808695846
ExactSmall,3,110,12.738539159931655,261.807918548584,True,1458.8906685329778,64.0,True,2,10.797868722278803,12.738539159931655,12.738539159931655,100.0,12.738539159931655,100.0,0.0
Greedy,3,120,1.7544701518025034,1.626729965209961,True,,,True,1,1.7544701518025034,1.7544701518025034,12.708821622466115,13.805136336960034,12.708821622466115,13.805136336960034,86.19486366303995
QIO-Default,3,120,3.5425383742858245,39.568185806274414,True,-580.9305053114666,,True,3,2.534324224000613,3.5425383742858245,12.708821622466115,27.874640777265107,12.708821622466115,27.874640777265107,72.12535922273489
QIO-HighQuality,3,120,3.5425383742858245,252.78425216674805,True,-580.9305053114666,,True,3,2.534324224000613,3.5425383742858245,12.708821622466115,27.874640777265107,12.708821622466115,27.874640777265107,72.12535922273489
LocalSearch,3,120,3.5425383742858245,8.76474380493164,True,-580.9305053114666,,True,3,2.534324224000613,3.5425383742858245,12.708821622466115,27.874640777265107,12.708821622466115,27.874640777265107,72.12535922273489
ExactSmall,3,120,12.708821622466115,231.51206970214844,True,6427.79988940492,64.0,True,2,10.719634118779402,12.708821622466115,12.708821622466115,100.0,12.708821622466115,100.0,0.0
